Effect	effect	O	O
to	to	O	O
controls	controls	O	O
.	.	O	O

Our	our	O	O
studies	studies	O	O
indicate	indicate	O	O
that	that	O	O
nephrotoxicity	nephrotoxicity	O	O
of	of	O	O
MTX	mtx	O	O
+	+	O	O
5-FU	5-fu	O	O
+	+	O	O
CY	cy	O	O
administered	administered	O	O
jointly	jointly	O	O
is	is	O	O
lower	lower	O	O
than	than	O	O
in	in	O	O
monotherapy	monotherapy	O	O
.	.	O	O

