Probing	probing	O	O
(	(	O	O
mean	mean	O	O
age	age	O	O
70	70	O	O
)	)	O	O
and	and	O	O
9	9	O	O
young	young	O	O
(	(	O	O
mean	mean	O	O
age	age	O	O
33	33	O	O
)	)	O	O
volunteers	volunteers	O	O
.	.	O	O

INTERVENTIONS	interventions	O	O
:	:	O	O
Pupil	pupil	O	O
diameter	diameter	O	O
was	was	O	O
monitored	monitored	O	O
using	using	O	O
a	a	O	O
computerized	computerized	O	O
infrared	infrared	O	O
pupillometer	pupillometer	O	O
over	over	O	O
4	4	O	O
hours	hours	O	O
.	.	O	O

The	the	O	O
study	study	O	O
involved	involved	O	O
4	4	O	O
sessions	sessions	O	O
.	.	O	O

In	in	O	O
1	1	O	O
session	session	O	O
,	,	O	O
tropicamide	tropicamide	S_chemicals	O
(	(	O	O
20	20	O	O
microL	microl	O	O
,	,	O	O
0.01	0.01	O	O
%	%	O	O
)	)	O	O
was	was	O	O
administered	administered	O	O
to	to	O	O
one	one	O	O
eye	eye	O	O
and	and	O	O
placebo	placebo	O	O
to	to	O	O
the	the	O	O
other	other	O	O
.	.	O	O

In	in	O	O
another	another	O	O
session	session	O	O
,	,	O	O
tropicamide	tropicamide	S_chemicals	O
(	(	O	O
20	20	O	O
microL	microl	O	O
,	,	O	O
0.01	0.01	O	O
%	%	O	O
)	)	O	O
was	was	O	O
administered	administered	O	O
to	to	O	O
both	both	O	O
eyes	eyes	O	O
,	,	O	O
followed	followed	O	O
23	23	O	O
minutes	minutes	O	O
later	later	O	O
by	by	O	O
the	the	O	O
application	application	O	O
of	of	O	O
pilocarpine	pilocarpine	O	O
(	(	O	O
20	20	O	O
microL	microl	O	O
,	,	O	O
0.1	0.1	O	O
%	%	O	O
)	)	O	O
to	to	O	O
one	one	O	O
eye	eye	O	O
and	and	O	O
placebo	placebo	O	O
to	to	O	O
the	the	O	O
other	other	O	O
.	.	O	O

All	all	O	O
eye	eye	B_chemicals	O
drops	drops	I_chemicals	O
were	were	O	O
given	given	O	O
in	in	O	O
a	a	O	O
randomized	randomized	O	O
order	order	O	O
.	.	O	O

In	in	O	O
2	2	O	O
separate	separate	O	O
sessions	sessions	O	O
,	,	O	O
a	a	O	O
single	single	O	O
dose	dose	O	O
of	of	O	O
scopolamine	scopolamine	S_chemicals	O
(	(	O	O
0.5	0.5	O	O
mg	mg	O	O
,	,	O	O
intravenously	intravenously	O	O
)	)	O	O
or	or	O	O
placebo	placebo	O	O
was	was	O	O
administered	administered	O	O
,	,	O	O
and	and	O	O
the	the	O	O
effects	effects	O	O
on	on	O	O
word	word	O	O
recall	recall	O	O
were	were	O	O
measured	measured	O	O
using	using	O	O
the	the	O	O
Buschke	buschke	O	S_disease
Selective	selective	O	O
Reminding	reminding	O	O
Test	test	O	O
over	over	O	O
2	2	O	O
hours	hours	O	O
.	.	O	O

OUTCOME	outcome	O	O
MEASURES	measures	O	O
:	:	O	O
Pupil	pupil	O	O
size	size	O	O
at	at	O	O
time	time	O	O
points	points	O	O
after	after	O	O
administration	administration	O	O
of	of	O	O
tropicamide	tropicamide	S_chemicals	O
and	and	O	O
pilocarpine	pilocarpine	O	O
;	;	O	O
scopolamine-induced	scopolamine-induced	O	O
impairment	impairment	O	O
in	in	O	O
word	word	O	O
recall	recall	O	O
.	.	O	O

RESULTS	results	O	O
:	:	O	O
There	there	O	O
was	was	O	O
no	no	O	O
significant	significant	O	O
difference	difference	O	O
between	between	O	O
elderly	elderly	O	O
and	and	O	O
young	young	O	O
volunteers	volunteers	O	O
in	in	O	O
pupillary	pupillary	O	O
response	response	O	O
to	to	O	O
tropicamide	tropicamide	S_chemicals	O
at	at	O	O
any	any	O	O
time	time	O	O
point	point	O	O
(	(	O	O
p	p	O	O
>	>	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

The	the	O	O
elderly	elderly	O	O
group	group	O	O
had	had	O	O
a	a	O	O
significantly	significantly	O	O
greater	greater	O	O
pilocarpine-induced	pilocarpine-induced	O	O
net	net	O	O
decrease	decrease	O	O
in	in	O	O
pupil	pupil	O	O
size	size	O	O
85	85	O	O
,	,	O	O
125	125	O	O
,	,	O	O
165	165	O	O
and	and	O	O
215	215	O	O
minutes	minutes	O	O
after	after	O	O
administration	administration	O	O
,	,	O	O
compared	compared	O	O
with	with	O	O
the	the	O	O
young	young	O	O
group	group	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

Compared	compared	O	O
with	with	O	O
the	the	O	O
young	young	O	O
group	group	O	O
,	,	O	O
the	the	O	O
elderly	elderly	O	O
group	group	O	O
had	had	O	O
greater	greater	O	O
scopolamine-induced	scopolamine-induced	O	O
impairment	impairment	O	O
in	in	O	O
word	word	O	O
recall	recall	O	O
60	60	O	O
,	,	O	O
90	90	O	O
and	and	O	O
120	120	O	O
minutes	minutes	O	O
after	after	O	O
administration	administration	O	O
(	(	O	O
p	p	O	O
<	<	O	O
0.05	0.05	O	O
)	)	O	O
.	.	O	O

CONCLUSION	conclusion	O	O
:	:	O	O
There	there	O	O
is	is	O	O
an	an	O	O
age-related	age-related	O	O
pupillary	pupillary	O	O
response	response	O	O
to	to	O	O
pilocarpine	pilocarpine	O	O
that	that	O	O
is	is	O	O
not	not	O	O
found	found	O	O
with	with	O	O
tropicamide	tropicamide	S_chemicals	O
.	.	O	O

Thus	thus	O	O
,	,	O	O
pilocarpine	pilocarpine	O	O
may	may	O	O
be	be	O	O
useful	useful	O	O
to	to	O	O
assess	assess	O	O
variations	variations	O	O
in	in	O	O
central	central	O	O
cholinergic	cholinergic	S_chemicals	O
function	function	O	O
in	in	O	O
elderly	elderly	O	O
patients	patients	O	O
.	.	O	O

