,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_chemicals_distsv,lf_disease_distsv,olabel,orig_index,label,prob_0,prob_1
214,reactive oxygen species,4,7,28,51,"We recently showed elevated reactive oxygen species (ROS), reduced urinary excretion of NO metabolites (NOx), and increased NO sequestration as nitrotyrosine in various tissues in rats with lead-induced hypertension.",10523326_1,-1,-1,-1,214,-1,0.99329835,0.006701676
219,drinking water,19,21,105,119,"Male Sprague-Dawley rats were randomly assigned to a lead-treated group (given lead acetate, 100 ppm, in drinking water and regular rat chow), a group given lead and vitamin E-fortified chow, or a normal control group given either regular food and water or vitamin E-fortified food for 12 weeks.",10523326_3,-1,-1,-1,219,-1,0.9432467,0.05675326
221,Vitamin E,0,2,0,9,"Vitamin E supplementation ameliorated hypertension, lowered plasma MDA concentration, and raised urinary NOx excretion while significantly lowering vascular, but not renal, tissue eNOS and iNOS expression.",10523326_6,-1,-1,-1,221,-1,0.99806005,0.0019399214
223,Vitamin E,0,2,0,9,"Vitamin E supplementation had no effect on either blood pressure, plasma MDA, or NOS expression in the control group.",10523326_7,-1,-1,-1,223,-1,0.99806565,0.0019343595
226,migraine without aura,5,8,39,60,Glyceryl trinitrate induces attacks of migraine without aura in sufferers of migraine with aura.,10524660_0,-1,-1,-1,226,-1,0.001567647,0.99843234
227,migraine with aura,11,14,77,95,Glyceryl trinitrate induces attacks of migraine without aura in sufferers of migraine with aura.,10524660_0,-1,-1,-1,227,-1,0.0016678554,0.9983322
228,Migraine with aura,0,3,0,18,"Migraine with aura and migraine without aura have the same pain phase, thus indicating that migraine with aura and migraine without aura share a common pathway of nociception.",10524660_1,-1,-1,-1,228,-1,0.0023878205,0.99761224
229,migraine without aura,4,7,23,44,"Migraine with aura and migraine without aura have the same pain phase, thus indicating that migraine with aura and migraine without aura share a common pathway of nociception.",10524660_1,-1,-1,-1,229,-1,0.0023316126,0.9976683
231,migraine with aura,16,19,92,110,"Migraine with aura and migraine without aura have the same pain phase, thus indicating that migraine with aura and migraine without aura share a common pathway of nociception.",10524660_1,-1,-1,-1,231,-1,0.002261056,0.99773896
232,migraine without aura,20,23,115,136,"Migraine with aura and migraine without aura have the same pain phase, thus indicating that migraine with aura and migraine without aura share a common pathway of nociception.",10524660_1,-1,-1,-1,232,-1,0.0023453203,0.9976547
233,nitric oxide,12,14,79,91,"In recent years, increasing evidence has suggested that the messenger molecule nitric oxide (NO) is involved in pain mechanisms of migraine without aura.",10524660_2,-1,-1,-1,233,-1,0.99780995,0.002190041
235,migraine without aura,23,26,131,152,"In recent years, increasing evidence has suggested that the messenger molecule nitric oxide (NO) is involved in pain mechanisms of migraine without aura.",10524660_2,-1,-1,-1,235,-1,0.0018932221,0.9981067
236,migraine with aura,10,13,49,67,"In order to clarify whether the same is true for migraine with aura, in the present study we examined the headache response to intravenous infusion of glyceryl trinitrate (GTN) (0.5 microg/kg/min for 20 min) in 12 sufferers of migraine with aura.",10524660_3,-1,-1,-1,236,-1,0.0016926982,0.99830735
238,migraine with aura,43,46,227,245,"In order to clarify whether the same is true for migraine with aura, in the present study we examined the headache response to intravenous infusion of glyceryl trinitrate (GTN) (0.5 microg/kg/min for 20 min) in 12 sufferers of migraine with aura.",10524660_3,-1,-1,-1,238,-1,0.0016092217,0.9983908
239,migraine without aura,13,16,70,91,The specific aim was to elucidate whether an aura and/or an attack of migraine without aura could be induced.,10524660_4,-1,-1,-1,239,-1,0.001653836,0.9983462
240,Aura,0,1,0,4,Aura symptoms were not elicited in any subject.,10524660_6,-1,-1,-1,240,-1,0.0022762767,0.99772376
242,h,26,27,148,149,Headache was more severe in migraineurs than in the controls during and immediately after GTN infusion (p=0.037) as well as during the following 11 h (p = 0.008).,10524660_7,-1,-1,-1,242,-1,0.0453533,0.95464665
246,migraine without aura,16,19,95,116,At this time the induced headache in 6 of 12 migraineurs fulfilled the diagnostic criteria for migraine without aura of the International Headache Society.,10524660_9,-1,-1,-1,246,-1,0.0019420886,0.9980579
249,migraine with aura,13,16,76,94,The results therefore suggest that NO is involved in the pain mechanisms of migraine with aura.,10524660_10,-1,-1,-1,249,-1,0.0018942703,0.99810576
253,migraine with aura,29,32,188,206,"Since cortical spreading depression has been shown to liberate NO in animals, this finding may help our understanding of the coupling between cortical spreading depression and headache in migraine with aura.",10524660_11,-1,-1,-1,253,-1,0.001801304,0.9981987
259,NSCLC,11,12,69,74,"BACKGROUND: Although the prevalence of nonsmall cell lung carcinoma (NSCLC) is high among elderly patients, few data are available regarding the efficacy and toxicity of chemotherapy in this group of patients.",10526274_2,-1,-1,-1,259,-1,0.0023415312,0.9976585
262,VNB,10,11,68,71,"Recent reports indicate that single agent therapy with vinorelbine (VNB) or gemcitabine (GEM) may obtain a response rate of 20-30% in elderly patients, with acceptable toxicity and improvement in symptoms and quality of life.",10526274_3,-1,-1,-1,262,-1,0.996033,0.0039670267
264,GEM,15,16,89,92,"Recent reports indicate that single agent therapy with vinorelbine (VNB) or gemcitabine (GEM) may obtain a response rate of 20-30% in elderly patients, with acceptable toxicity and improvement in symptoms and quality of life.",10526274_3,-1,-1,-1,264,-1,0.9979721,0.0020278746
267,GEM,12,13,69,72,In the current study the efficacy and toxicity of the combination of GEM and VNB in elderly patients with advanced NSCLC or those with some contraindication to receiving cisplatin were assessed.,10526274_4,-1,-1,-1,267,-1,0.9981883,0.0018117273
268,VNB,14,15,77,80,In the current study the efficacy and toxicity of the combination of GEM and VNB in elderly patients with advanced NSCLC or those with some contraindication to receiving cisplatin were assessed.,10526274_4,-1,-1,-1,268,-1,0.99714845,0.0028516056
269,NSCLC,20,21,115,120,In the current study the efficacy and toxicity of the combination of GEM and VNB in elderly patients with advanced NSCLC or those with some contraindication to receiving cisplatin were assessed.,10526274_4,-1,-1,-1,269,-1,0.002184997,0.997815
271,NSCLC,6,7,43,48,"METHODS: Forty-nine patients with advanced NSCLC were included, 38 of whom were age >/= 70 years and 11 were age < 70 years but who had some contraindication to receiving cisplatin.",10526274_5,-1,-1,-1,271,-1,0.0020153048,0.99798465
274,VNB,4,5,27,30,"Treatment was comprised of VNB, 25 mg/m(2), plus GEM, 1000 mg/m(2), both on Days 1, 8, and 15 every 28 days.",10526274_7,-1,-1,-1,274,-1,0.99694973,0.0030503252
275,GEM,11,12,49,52,"Treatment was comprised of VNB, 25 mg/m(2), plus GEM, 1000 mg/m(2), both on Days 1, 8, and 15 every 28 days.",10526274_7,-1,-1,-1,275,-1,0.9980692,0.0019307542
283,GEM,5,6,32,35,CONCLUSIONS: The combination of GEM and VNB is moderately active and well tolerated except in patients age >/= 75 years.,10526274_18,-1,-1,-1,283,-1,0.99799806,0.0020019326
284,VNB,7,8,40,43,CONCLUSIONS: The combination of GEM and VNB is moderately active and well tolerated except in patients age >/= 75 years.,10526274_18,-1,-1,-1,284,-1,0.9976261,0.0023738488
287,NSCLC,16,17,116,121,New chemotherapy combinations with higher activity and lower toxicity are needed for elderly patients with advanced NSCLC.,10526274_21,-1,-1,-1,287,-1,0.0022831028,0.9977169
289,calcium chloride,7,9,65,81,Rapid reversal of life-threatening diltiazem-induced tetany with calcium chloride.,10533019_0,-1,-1,-1,289,-1,0.9987142,0.00128585
292,calcium chloride,3,5,22,38,"The administration of calcium chloride rapidly resolved the patient's tetany with prompt recovery of respiratory function, averting the need for more aggressive airway management and ventilatory support.",10533019_2,-1,-1,-1,292,-1,0.9985506,0.001449402
296,calcium chloride,18,20,136,152,The emergency physician should be aware that life-threatening tetany may accompany the administration of intravenous diltiazem and that calcium chloride may be a rapid and effective remedy.,10533019_3,-1,-1,-1,296,-1,0.99875915,0.0012408273
297,heart failure,8,10,56,69,"Predictors of decreased renal function in patients with heart failure during angiotensin-converting enzyme inhibitor therapy: results from the studies of left ventricular dysfunction (SOLVD)BACKGROUND: Although angiotensin-converting enzyme inhibitor therapy reduces mortality rates in patients with congestive heart failure (CHF), it may also cause decreased renal function.",10539815_0,-1,-1,-1,297,-1,0.0019116529,0.9980883
298,left ventricular dysfunction,21,24,154,182,"Predictors of decreased renal function in patients with heart failure during angiotensin-converting enzyme inhibitor therapy: results from the studies of left ventricular dysfunction (SOLVD)BACKGROUND: Although angiotensin-converting enzyme inhibitor therapy reduces mortality rates in patients with congestive heart failure (CHF), it may also cause decreased renal function.",10539815_0,-1,-1,-1,298,-1,0.0045911786,0.99540883
299,congestive heart failure,37,40,300,324,"Predictors of decreased renal function in patients with heart failure during angiotensin-converting enzyme inhibitor therapy: results from the studies of left ventricular dysfunction (SOLVD)BACKGROUND: Although angiotensin-converting enzyme inhibitor therapy reduces mortality rates in patients with congestive heart failure (CHF), it may also cause decreased renal function.",10539815_0,-1,-1,-1,299,-1,0.0019476431,0.99805236
300,CHF,41,42,326,329,"Predictors of decreased renal function in patients with heart failure during angiotensin-converting enzyme inhibitor therapy: results from the studies of left ventricular dysfunction (SOLVD)BACKGROUND: Although angiotensin-converting enzyme inhibitor therapy reduces mortality rates in patients with congestive heart failure (CHF), it may also cause decreased renal function.",10539815_0,-1,-1,-1,300,-1,0.0016913925,0.99830866
301,CHF,15,16,100,103,OBJECTIVE: To quantify specific clinical predictors of reduction in renal function in patients with CHF who are prescribed angiotensin-converting enzyme inhibitor therapy.,10539815_2,-1,-1,-1,301,-1,0.0015860104,0.9984139
302,Left Ventricular Dysfunction,9,12,45,73,"METHOD: We analyzed data from the Studies of Left Ventricular Dysfunction (SOLVD), a randomized, double-blind, placebo-controlled trial of enalapril for the treatment of CHF.",10539815_3,-1,-1,-1,302,-1,0.006659938,0.9933401
304,CHF,29,30,170,173,"METHOD: We analyzed data from the Studies of Left Ventricular Dysfunction (SOLVD), a randomized, double-blind, placebo-controlled trial of enalapril for the treatment of CHF.",10539815_3,-1,-1,-1,304,-1,0.0022041334,0.99779594
320,CHF,19,20,106,109,CONCLUSIONS: Enalapril use caused a 33% increase in the risk of decreased renal function in patients with CHF.,10539815_13,-1,-1,-1,320,-1,0.001658201,0.9983418
322,CHF,14,15,88,91,"Diabetes was associated with an increased risk of renal impairment in all patients with CHF, but this risk was reduced in the enalapril group compared with the placebo group.",10539815_15,-1,-1,-1,322,-1,0.0014292194,0.9985708
325,psychotic disorder,13,15,73,91,We report a female patient with a diagnosis of a not otherwise specified psychotic disorder (DSM-IV) who developed hypomania shortly after the introduction of olanzapine treatment.,10565806_1,-1,-1,-1,325,-1,0.0019153466,0.99808466
328,NRA0160,7,8,45,52,"A selective dopamine D4 receptor antagonist, NRA0160: a preclinical neuropharmacological profile.",10579464_0,-1,-1,-1,328,-1,0.99483055,0.005169494
329,NRA0160,0,1,0,7,"NRA0160, 5 - [2- ( 4- ( 3 - fluorobenzylidene) piperidin-1-yl) ethyl] - 4 -(4-fluorophenyl) thiazole-2-carboxamide, has a high affinity for human cloned dopamine D4.2, D4.4 and D4.7 receptors, with Ki values of 0.5, 0.9 and 2.7 nM, respectively.",10579464_1,-1,-1,-1,329,-1,0.9716225,0.02837749
332,NRA0160,0,1,0,7,"NRA0160 is over 20,000fold more potent at the dopamine D4.2 receptor compared with the human cloned dopamine D2L receptor.",10579464_2,-1,-1,-1,332,-1,0.9956767,0.0043233004
335,NRA0160,0,1,0,7,"NRA0160 has negligible affinity for the human cloned dopamine D3 receptor (Ki=39 nM), rat serotonin (5-HT)2A receptors (Ki=180 nM) and rat alpha1 adrenoceptor (Ki=237 nM).",10579464_3,-1,-1,-1,335,-1,0.9958333,0.0041666995
338,NRA0160,0,1,0,7,NRA0160 and clozapine antagonized locomotor hyperactivity induced by methamphetamine (MAP) in mice.,10579464_4,-1,-1,-1,338,-1,0.99715483,0.0028451015
342,NRA0160,0,1,0,7,"NRA0160 and clozapine antagonized MAP-induced stereotyped behavior in mice, although their effects did not exceed 50% inhibition, even at the highest dose given.",10579464_5,-1,-1,-1,342,-1,0.9973441,0.002655991
344,NRA0160,0,1,0,7,"NRA0160 and clozapine significantly induced catalepsy in rats, although their effects did not exceed 50% induction even at the highest dose given.",10579464_6,-1,-1,-1,344,-1,0.9966928,0.0033072617
347,NRA0160,0,1,0,7,NRA0160 and clozapine significantly reversed the disruption of prepulse inhibition (PPI) in rats produced by apomorphine.,10579464_7,-1,-1,-1,347,-1,0.9967878,0.0032122645
350,NRA0160,0,1,0,7,NRA0160 and clozapine significantly shortened the phencyclidine (PCP)-induced prolonged swimming latency in rats in a water maze task.,10579464_8,-1,-1,-1,350,-1,0.9961423,0.0038576403
352,NRA0160,4,5,28,35,These findings suggest that NRA0160 may have unique antipsychotic activities without the liability of motor side effects typical of classical antipsychotics.,10579464_9,-1,-1,-1,352,-1,0.99788207,0.0021179153
