,entities,start_tokens,end_tokens,start_chars,end_chars,text,pmid,lf_chemicals_distsv,lf_disease_distsv,label,orig_index,olabel
11758,bradycardia,8,9,63,74,"However, the diazepam enhancement of adrenaline-induced reflex bradycardia was antagonized by pretreatment of rats with an intravenous dose of picrotoxin (an agent blocks chloride channels by binding to sites associated with the benzodiazepine-GABA-chloride channel macromolecular complex).",2894433_5,-1,1,1,11758,1
6596,edema,16,17,79,84,"In the periphery of the ischemic territory, SG in the cortex was greater (less edema accumulation) in the hypertensive group (1.041 +/- 0.001 vs 1.039 +/- 0.001, P less than 0.05).",1711760_10,-1,1,1,6596,1
3817,prazosin,20,21,124,132,Head-up tilts in these rats did not produce orthostatic hypotension when performed either prior to or after acute dosing of prazosin (0.1 mg kg-1 i.p.).,1355091_8,0,-1,0,3817,0
1417,reflex sympathetic dystrophy,12,15,65,93,"Pain was not explained by other diseases causing foot pain, like reflex sympathetic dystrophy, polyneuropathy, Morton's neuralgia, gout, osteoporosis, avascular necrosis, intermittent claudication, orthopaedic foot deformities, stress fractures, and hyperparathyroidism.",11263551_6,-1,-1,1,1417,-1
10726,azidothymidine,17,18,96,110,"Increased extracellular concentrations of uridine (Urd) have been reported to reduce, in vitro, azidothymidine (AZT)-induced inhibition of human granulocyte-macrophage progenitor cells without impairment of its antihuman immunodeficiency virus (HIV) activity.",2257294_1,0,-1,0,10726,0
4358,pyridoxine,3,4,23,33,Periodic withdrawal of pyridoxine was associated with return of the hyperkinesis.,150790_5,0,-1,0,4358,0
14741,toxicities,1,2,14,24,"Dose-limiting toxicities in six of nine patients at 200 mg/m2/d included hypercalcemia (n = 3), rash (n = 2), and anemia/thrombocytopenia/emesis/rash (n = 1).",7707116_8,-1,1,1,14741,1
4509,hypertrophic cardiomyopathy,3,5,42,69,Hypersensitivity myocarditis complicating hypertrophic cardiomyopathy heart.,15266362_0,-1,-1,1,4509,-1
5246,Thyroid disorders,0,2,0,17,"Thyroid disorders, illicit drug or stimulant use, and acute alcohol intoxication are among these causes.",15899738_3,-1,-1,1,5246,-1
7527,hepatotoxicity,11,12,63,77,BACKGROUND: The possible role of alcohol in the development of hepatotoxicity associated with therapeutic doses of paracetamol (acetaminophen) is currently debated.,18004067_1,-1,1,1,7527,1
5515,hyperammonemia,8,9,50,64,It is usually but not necessarily associated with hyperammonemia.,16181582_3,-1,1,1,5515,1
16304,antidepressant desipramine,5,7,41,67,"Anesthetized rats received the tricyclic antidepressant desipramine IP to produce hypotension, QRS prolongation, and bradycardia.",8800187_6,-1,-1,0,16304,-1
6754,myopathy,9,10,72,80,These observations suggest that statins may initiate an immune-mediated myopathy that persists after withdrawal of the drug and responds to immunosuppressive therapy.,17241784_7,-1,1,1,6754,1
17080,ventricular dysrhythmias,5,7,20,44,We report a case of ventricular dysrhythmias that occurred after six therapeutic doses of clarithromycin.,9326871_5,-1,-1,1,17080,-1
9689,seizures,8,9,66,74,High-dose tranexamic Acid is associated with nonischemic clinical seizures in cardiac surgical patients.,19996135_0,-1,1,1,9689,1
12634,neutropenia,23,24,153,164,"In four subacute toxicity studies, the intravenous administration of cefonicid or cefazedone to beagle dogs caused a dose-dependent incidence of anemia, neutropenia, and thrombocytopenia after 1-3 months of treatment.",3629586_3,-1,1,1,12634,1
16383,mg amlodipine,51,53,236,249,"The incidence of drug-related dependent edema was somewhat higher in the amlodipine group, particularly at a dose of 10 mg per day (2.4% for 80 mg valsartan; 3.6% for 5 mg amlodipine; 0% for valsartan plus 5 mg amlodipine; 14.3% for 10 mg amlodipine).",8841157_12,-1,-1,2,16383,-1
5299,Ro4368554 (3-benzenesulfonyl-7-(4-methyl-piperazin-1-yl)1H-indole,14,17,99,164,"The present study sought to characterize the cognitive-enhancing effects of the 5-HT(6) antagonist Ro4368554 (3-benzenesulfonyl-7-(4-methyl-piperazin-1-yl)1H-indole) in a rat object recognition task employing a cholinergic (scopolamine pretreatment) and a serotonergic- (tryptophan (TRP) depletion) deficient model, and compared its pattern of action with that of the acetylcholinesterase inhibitor metrifonate.",15957009_3,-1,-1,2,5299,-1
15641,hypercholesterolemia,10,11,68,88,Efficacy and tolerability of lovastatin in 3390 women with moderate hypercholesterolemia.,8480959_0,-1,1,1,15641,1
1062,dobutamine,8,9,56,66,Myocardial ischemia due to coronary artery spasm during dobutamine stress echocardiography.,11078231_0,0,-1,0,1062,0
14339,arrhythmia,18,19,113,123,"In four patients, the arrhythmia was rapidly diagnosed and treated with disappearance of further episodes of the arrhythmia.",7234705_5,-1,1,1,14339,1
9510,adefovir,15,16,97,105,"In all clones with combined immune escape and LAM resistance mutations, the nucleotide analogues adefovir and tenofovir remained effective in suppressing viral replication in vitro.",19889778_8,-1,-1,0,9510,-1
6039,alprazolam,7,8,34,44,"On the 10th day of paroxetine and alprazolam treatment, the patient exhibited marked psychomotor retardation, disorientation, and severe muscle rigidity with tremors.",16720068_3,0,-1,0,6039,0
3522,postoperative myalgia,19,21,158,179,IMPLICATIONS: Administration of dexamethasone before succinylcholine was not effective in decreasing the incidence or the severity of succinylcholine-induced postoperative myalgia.,12760988_10,-1,-1,1,3522,-1
715,juvenile rheumatoid arthritis,5,8,25,54,We followed 210 cases of juvenile rheumatoid arthritis closely for eleven years.,1079693_1,-1,-1,1,715,-1
17920,bradycardia,16,17,119,130,"High doses of isoniazid increase hypotension induced by vasodilators and change the accompanying reflex tachycardia to bradycardia, an interaction attributed to decreased synthesis of brain gamma-aminobutyric acid (GABA).",9915601_1,-1,1,1,17920,1
16885,MDS,17,18,125,128,Histological examination on 9 of 10 mice with such thrombocytopenia showed changes compatible with myelodysplastic syndrome (MDS).,9209318_5,-1,-1,1,16885,-1
8449,cardiotoxicity,10,11,73,87,High fat diet-fed obese rats are highly sensitive to doxorubicin-induced cardiotoxicity.,18674790_0,-1,1,1,8449,1
10827,stress incontinence,1,3,17,36,Prazosin-induced stress incontinence.,2304736_0,-1,1,1,10827,1
6268,hyperactivity,2,3,23,36,"On amphetamine-induced hyperactivity, THP (3.75 and 7.5 mg/kg i.p.) reduced locomotor time, distance traveled and average speed (P < 0.05).",16867021_8,-1,1,1,6268,1
3793,hypertensive,24,25,189,201,Studies were performed to evaluate whether chronic prazosin treatment alters the alpha 2-adrenoceptor function for orthostatic control of arterial blood pressure in conscious spontaneously hypertensive rats (SHR).,1355091_1,-1,1,1,3793,1
1773,ropivacaine,17,18,125,136,"The cumulative doses of levobupivacaine that produced dysrhythmias and asystole were smaller than the corresponding doses of ropivacaine, but they were larger than those of bupivacaine.",11524350_10,-1,-1,0,1773,-1
9025,stroke,11,12,73,79,Warfarin-associated intracerebral hemorrhage (W-ICH) is a severe type of stroke.,19319147_1,-1,1,1,9025,1
3969,legs paralysis,8,10,54,68,"A 77-y-old patient developed weakness of extremities, legs paralysis, dysarthria and tremor 1 h after ingestion of 200 mg ketoconazole for the first time in his life.",14513889_1,-1,-1,1,3969,-1
7162,epilepsy,12,13,60,68,"Here we report of two adult patients with a long history of epilepsy treated with PB who died suddenly: one as consequence of cardiac arrest, the other of acute bronchopneumonia.",17574447_2,-1,1,1,7162,1
11050,methyldopa,9,10,68,78,"In spontaneously hypertensive, stroke-prone rats, microinjection of methyldopa into the area of the midline B3 serotonin cell group in the ventral medulla caused a potent hypotension of 30-40 mm Hg, which was maximal 2-3 h after administration and was abolished by the serotonin neurotoxin 5,7-dihydroxytryptamine (5,7-DHT) injected intracerebroventricularly.",2422478_3,0,-1,0,11050,0
7568,propofol,9,10,57,65,"CONCLUSIONS: During induction of anaesthesia with TCI of propofol and remifentanil, a significant reduction in propofol infusion pain was achieved without significant complications by prior administration of remifentanil at a target Ce of 4 ng ml(-1).",18006530_11,0,-1,0,7568,0
258,acetaminophen,15,16,68,81,Aggregation was lower (P < .05) in the ketoprofen group than in the acetaminophen group just before surgery and on the third postoperative day.,10414674_7,0,-1,0,258,0
13755,suxamethonium,14,15,105,118,glycopyrrolate and atropine in the prevention of bradycardia and arrhythmias following repeated doses of suxamethonium in children.,6466532_1,0,-1,0,13755,0
14334,premature ventricular contractions,14,17,95,129,"In the remaining three patients, procainamide was administered orally for treatment of chronic premature ventricular contractions or atrial flutter.",7234705_3,-1,-1,1,14334,-1
7042,nausea,24,25,162,168,"CONCLUSIONS: The administration of methylprednisolone and gentamicin in the posterior sub-Tenon's space was related to a high incidence of side effects including nausea, vomiting, and headache.",17466854_8,-1,1,1,7042,1
11017,midazolam,17,18,133,142,This report describes the first published case of cardiorespiratory arrest and death associated with intramuscular administration of midazolam.,2375138_3,0,-1,0,11017,0
13871,ventricular tachycardias,28,30,206,230,"Sublingual absorption of the quaternary ammonium antiarrhythmic agent, UM-272.UM-272 (N,N-dimethylpropranolol), a quaternary antiarrhythmic agent, was administered sublingually to dogs with ouabain-induced ventricular tachycardias.",6634932_0,-1,-1,1,13871,-1
17446,Carboplatin,0,1,0,11,Carboplatin toxic effects on the peripheral nervous system of the rat.,9636837_0,0,-1,0,17446,0
1833,seizures,8,9,55,63,"Despite administration of phenytoin and lorazepam, the seizures persisted and occurred only during amphotercin B administration.",11573852_3,-1,1,1,1833,1
11448,ketoconazole,10,11,62,74,Our findings show that long-term treatment with high doses of ketoconazole may induce enzyme blockade leading to mineralocorticoid-related hypertension.,2632720_5,0,-1,0,11448,0
8568,sodium,1,2,8,14,Urinary sodium excretion reached signficantly lower values in sgk1(+/+) mice (15 +/- 5 mumol/mg crea) than in sgk1(-/-) mice (35 +/- 5 mumol/mg crea) and was associated with a significantly higher body weight gain in sgk1(+/+) compared with sgk1(-/-) mice (+6.6 +/- 0.7 vs. +4.1 +/- 0.8 g).,18768591_7,0,-1,0,8568,0
6260,catalepsy,25,26,122,131,"Administration of THP (3.75, 7.5 and 15 mg/kg i.p.) 1 h prior to haloperidol resulted in a dose-dependent increase in the catalepsy times (P < 0.05).",16867021_5,-1,1,1,6260,1
1000,Acute Spinal Cord Injury,4,8,24,48,"Because of the National Acute Spinal Cord Injury Studies (NASCIS), high-dose methylprednisolone became the standard of care for the acute spinal cord injury.",11058428_1,-1,-1,1,1000,-1
15520,oral contraceptives,17,19,104,123,"Two cases of hepatic adenoma and one of focal nodular hyperplasia presumably associated with the use of oral contraceptives, are reported.",839274_1,0,-1,0,15520,0
2103,adenosine,35,36,220,229,"BACKGROUND: Preclinical studies of intrathecal adenosine suggest it may be effective in the treatment of acute and chronic pain in humans, and preliminary studies in volunteers and patients with a Swedish formulation of adenosine suggests it may be effective in hypersensitivity states but not with acute noxious stimulation.",11752998_1,0,-1,0,2103,0
8629,Toxicity,0,1,0,8,Toxicity in rhesus monkeys following administration of the 8-aminoquinoline 8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline (WR242511).INTRODUCTION: Many substances that form methemoglobin (MHb) effectively counter cyanide (CN) toxicity.,18821488_0,-1,1,1,8629,1
6124,carbachol,12,13,66,75,"For the first time, an analytical method for the determination of carbachol in plasma and urine has been developed.",16740173_21,0,-1,0,6124,0
13386,sulphasalazine,10,11,54,68,"Despite reports to the contrary, it is suggested that sulphasalazine may be teratogenic.",6133211_6,0,-1,0,13386,0
13482,timolol,4,5,24,31,"The effect of long-term timolol treatment on heart size after myocardial infarction was evaluated by X-ray in a double-blind study including 241 patients (placebo 126, timolol 115).",6229975_1,0,-1,0,13482,0
10389,coma,10,11,80,84,Severe congestive heart failure patient on amiodarone presenting with myxedemic coma: a case report.,20635749_0,-1,1,1,10389,1
16526,folic acid,12,14,76,86,This observation prompted a Phase I clinical study of lometrexol given with folic acid supplementation which has confirmed that the toxicity of lometrexol can be markedly reduced by folic acid supplementation.,8958188_5,-1,-1,0,16526,-1
14214,toxic optic neuropathy,14,17,92,114,A 65-year-old woman with adult-onset diabetes treated with chlorpropamide (Diabenese) had a toxic optic neuropathy that resolved with discontinuation of chlorpropamide therapy.,7059267_1,-1,-1,1,14214,-1
12975,infection,11,12,58,67,Vancomycin was curative in 95% of 43 patients with proven infection.,3934126_2,-1,1,1,12975,1
2009,cardiomyopathy,4,5,39,53,Combined antiretroviral therapy causes cardiomyopathy and elevates plasma lactate in transgenic AIDS mice.,11706060_0,-1,1,1,2009,1
8630,8-aminoquinoline,8,9,59,75,Toxicity in rhesus monkeys following administration of the 8-aminoquinoline 8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline (WR242511).INTRODUCTION: Many substances that form methemoglobin (MHb) effectively counter cyanide (CN) toxicity.,18821488_0,0,-1,0,8630,0
17439,haloperidol,5,6,31,42,Muscle rigidity was induced by haloperidol (2.5 mg/kg i.p.).,9630698_3,0,-1,0,17439,0
7558,propofol,10,11,50,58,"After the target Ce was achieved, the infusion of propofol was started.",18006530_5,0,-1,0,7558,0
14770,ischemia,33,34,234,242,"Increased plasma malondialdehyde was also recorded in two other groups of animals subjected to the same experimental model, one receiving 20 mg/kg b.w. of the cyclooxygenase inhibitor acetylsalicylate intravenously immediately before ischemia, the other receiving 650 micrograms/kg b.w. of the hypotensive drug nitroprusside at a flow rate of 103 microliters/min intravenously during ischemia, although in this latter group malondialdehyde was significantly higher.",7710775_6,-1,1,1,14770,1
10532,tumors,23,24,135,141,"IMPORTANCE OF THE FIELD: Fluoropyrimidines, in particular 5-fluorouracil (5-FU), have been the mainstay of treatment for several solid tumors, including colorectal, breast and head and neck cancers, for > 40 years.",20722491_1,-1,1,1,10532,1
8762,seizures,18,19,109,117,BACKGROUND: It is not known if there is a relationship between input rate and incidence of bupropion-induced seizures.,19105845_1,-1,1,1,8762,1
2637,myoclonus,34,35,225,234,"In the patient described, the presence of asterixis during infusion of ifosfamide, normal laboratory findings and imaging studies and the resolution of symptoms following the discontinuation of the drug suggest that negative myoclonus is associated with the use of IFX.",12084448_7,-1,1,1,2637,1
15163,heparin,14,15,101,108,"Ancrod has been used successfully for prophylaxis against development of thrombosis in patients with heparin induced platelet aggregation who require brief reexposure to heparin, but its success in patients who have developed the thrombosis syndrome is not well defined.",8012887_2,0,-1,0,15163,0
14710,Enflurane,0,1,0,9,Enflurane administration resulted in neoantigens detected in both the microsomal and cytosolic fraction of liver homogenates and in the centrilobular region of the liver.,7647582_6,0,-1,0,14710,0
4747,vitamin C,11,13,63,72,These observations led us to hypothesize that a high intake of vitamin C in diabetic persons might promote atherosclerosis.,15531665_1,-1,-1,0,4747,-1
16313,4-aminopyridine,2,3,10,25,CaCl2 and 4-aminopyridine failed to improve blood pressure.,8800187_10,-1,-1,0,16313,-1
11805,buspirone,5,6,27,36,"The novel anxiolytic drug, buspirone, reverses catalepsy induced by haloperidol.",2907585_1,-1,-1,0,11805,-1
1678,malignant hypertension,5,7,27,49,"These 13 included cases of malignant hypertension, thrombotic microangiopathy, lupus nephritis, Henoch-Schonlein nephritis, crescentic glomerulonephritis, and cocaine-related acute renal failure.",11391224_7,-1,-1,1,1678,-1
6715,tumor,4,5,24,29,The most common primary tumor site was the head and neck.,1720453_5,-1,1,1,6715,1
8313,fentanyl,11,12,76,84,Pain severity and analgesic requirements were unaffected by the omission of fentanyl.,18544179_9,0,-1,0,8313,0
3129,hypertension,43,44,239,251,"Hypertension was observed in animals that had a reduction in glomeruli as well as in a group that did not have a reduction in glomerular number, suggesting that a reduction in glomerular number is not the sole cause for the development of hypertension.",12574103_9,-1,1,1,3129,1
12276,cyclosporine,4,5,12,24,"In group I, cyclosporine was given before the procedure at a loading dose of 17.5 mg/kg and then continued after the procedure to keep a whole blood level about 1000 ng/ml.",3311455_2,0,-1,0,12276,0
11789,Chlorthalidone,0,1,0,14,Chlorthalidone (50 mg daily) was given for 14 days.,28952_2,-1,-1,0,11789,-1
299,tachycardia,6,7,24,35,"Due to the risk of this tachycardia inducing myocardial ischemia, we would not recommend the use in elderly patients of any of the ephedrine/propofol/mixtures studied.",10520387_5,-1,1,1,299,1
8057,METH,9,10,83,87,Striatal microglia expressing eGFP constitutively show morphological changes after METH that are characteristic of activation.,18410508_8,-1,-1,0,8057,-1
9431,neuronal damage,8,10,62,77,"In vehicle-treated rats, status epilepticus caused pronounced neuronal damage in the piriform cortex comprising both pyramidal cells and interneurons.",19767176_6,-1,1,1,9431,1
13206,hepatic failure,7,9,38,53,"One patient died, having presented in hepatic failure, and another, who had been taking methyldopa for 7 years, showed slower clinical and biochemical resolution over a period of several months.",424937_7,-1,-1,1,13206,-1
17227,1-(2-methoxyphenyl)-4-[4-(2-phthalimido)butyl]piperazine hydrobromide,63,65,569,638,"The antinociception produced by (+/-)-PG-9 was prevented by the unselective muscarinic antagonist atropine, the M1-selective antagonists pirenzepine and dicyclomine and the acetylcholine depletor hemicholinium-3, but not by the opioid antagonist naloxone, the gamma-aminobutyric acidB antagonist 3-aminopropyl-diethoxy-methyl-phosphinic acid, the H3 agonist R-(alpha)-methylhistamine, the D2 antagonist quinpirole, the 5-hydroxytryptamine4 antagonist 2-methoxy-4-amino-5-chlorobenzoic acid 2-(diethylamino)ethyl ester hydrochloride, the 5-hydroxytryptamin1A antagonist 1-(2-methoxyphenyl)-4-[4-(2-phthalimido)butyl]piperazine hydrobromide and the polyamines depletor reserpine.",9495837_2,-1,-1,2,17227,-1
14751,calcium,3,4,20,27,Monitoring of serum calcium and cis-RA levels is indicated in future trials.,7707116_15,0,-1,0,14751,0
6814,seizure disorder,12,14,64,80,"We present a case of a 5-year-old child with cerebral palsy and seizure disorder, receiving clonidine for restlessness, who presented for placement of a baclofen pump.",17263743_2,-1,-1,1,6814,-1
10426,carbamazepine,5,6,41,54,The administration of phenobarbitone and carbamazepine for 21days caused a significant impairment of learning and memory as well as an increased oxidative stress.,20667451_9,0,-1,0,10426,0
12945,acute lymphoblastic leukemia,3,6,21,49,Twenty children with acute lymphoblastic leukemia who developed meningeal disease were treated with a high-dose intravenous methotrexate regimen that was designed to achieve and maintain CSF methotrexate concentrations of 10(-5) mol/L without the need for concomitant intrathecal dosing.,3856631_1,-1,1,1,12945,1
10072,fetal anomalies,15,17,89,104,Vasoconstriction appears to be the common mechanism of action leading to a wide range of fetal anomalies.,20304337_2,-1,-1,1,10072,-1
1488,verapamil,7,8,39,48,"In the presence of autonomic blockade, verapamil failed to promote AF and increased, rather than decreasing, refractoriness.",11282081_10,0,-1,0,1488,0
12632,cefazedone,12,13,82,92,"In four subacute toxicity studies, the intravenous administration of cefonicid or cefazedone to beagle dogs caused a dose-dependent incidence of anemia, neutropenia, and thrombocytopenia after 1-3 months of treatment.",3629586_3,0,-1,0,12632,0
12027,hepatotoxicity,15,16,90,104,"By November 1984 the Committee on Safety of Medicines had received 82 reports of possible hepatotoxicity associated with the drug, including five deaths.",3101906_2,-1,1,1,12027,1
12167,cardiac failure,1,3,4,19,The cardiac failure was predicted by a drop in EF determined during a cold pressor test.,3137399_7,-1,-1,1,12167,-1
411,enalapril,24,25,139,148,"METHOD: We analyzed data from the Studies of Left Ventricular Dysfunction (SOLVD), a randomized, double-blind, placebo-controlled trial of enalapril for the treatment of CHF.",10539815_3,0,-1,0,411,0
11498,nitroprusside,6,7,41,54,A randomized comparison of labetalol and nitroprusside for induced hypotension.,2696505_0,0,-1,0,11498,0
12620,calcitonin,12,13,76,86,"Calcitonin receptors are found in the brain, and intracerebral infusions of calcitonin can produce behavioral effects.",3615541_1,0,-1,0,12620,0
3057,nephrotoxic,15,16,95,106,"METHODS: We conducted a randomized, double-blind, prospective, multicenter study comparing the nephrotoxic effects of an iso-osmolar, dimeric, nonionic contrast medium, iodixanol, with those of a low-osmolar, nonionic, monomeric contrast medium, iohexol.",12571256_3,-1,1,1,3057,1
1141,gemcitabine,57,58,310,321,"Thirty-five consecutive chemotherapy-naive patients with Stage IV NSCLC and an Eastern Cooperative Oncology Group performance status of 0-2 were treated with a combination of paclitaxel (135 mg/m(2) given intravenously in 3 hours) on Day 1, cisplatin (120 mg/m(2) given intravenously in 6 hours) on Day 1, and gemcitabine (800 mg/m(2) given intravenously in 30 minutes) on Days 1 and 8, every 4 weeks.",11135224_4,0,-1,0,1141,0
2200,thrombocytopenia,19,20,125,141,OBJECTIVE: To describe and increase awareness of a clinical scenario in which the onset or manifestations of heparin-induced thrombocytopenia are delayed.,11827497_3,-1,1,1,2200,1
