,text,pmid,entities,start_chars,end_chars,label
34,A delineation of the mechanisms that underlie the inappropriate synthesis of IL-17 and IL-21 in autoimmune diseases can thus provide important insights into potential therapies for these disorders.,20697158_1,"IL-21,IL-17","87,77","92,82","0,0"
35,A detailed analysis of the balance between Tregs and Th17 cells seems necessary in order to design more effective and less toxic modes of immunotherapy myeloma which still is an uncurable malignancy.,22489248_7,"Tregs,Th17 cells","43,53","48,63","2,2"
36,"A direct IFN-beta-1a treatment of CD45RA(+) T cells cultured in Th17-polarizing conditions also down-regulated RORc, IL-17A, and IL-23R, but up-regulated IL-10 gene expression.",19783688_7,"IFN-beta-1a,IL-17A,IL-23R,IL-10","9,117,129,154","20,123,135,159","0,0,0,0"
37,A disruption of the crucial balance between regulatory T-cells (Tregs) and Th17-cells was recently implicated in various autoimmune disorders.,28098832_0,Th17-cells,75,85,2
38,"A few studies have investigated the effects of atmospheric PM on AHR activation and immune function and demonstrated that atmospheric PM can activate the AHR, change cytokine expression, and alter T cell differentiation.",30574142_9,"AHR,AHR,cytokine,T cell","65,154,166,197","68,157,174,203","1,1,0,2"
39,"A food allergy mouse model was developed with ovalbumin as the specific Ag and here, we observed that exposure to specific Ag induced Treg apoptosis through converting the precursor of TGF-β to its mature form inside the Tregs.",33811758_3,"Tregs,TGF-β,Treg","221,185,134","226,190,138","2,0,2"
40,A genetic absence of the common IFN-α/β signaling receptor (IFNAR) in mice is associated with enhanced viral replication and altered adaptive immune responses.,22144897_0,viral replication,103,120,1
41,"A high degree of phosphorylation of the Th2 transcription factor Stat6 was observed; however, concurrent inactivation of Stat1 and Stat6 in mice did not prevent BA after RRV infection.",22005305_4,"Stat1,Stat6,transcription factor,phosphorylation,Th2,Stat6","121,65,44,17,40,131","126,70,64,32,43,136","1,1,1,1,2,1"
42,"A high prevalence of vitamin D insufficiency and deficiency exists worldwide, which is associated with an increased incidence and severity of a range of immune-mediated diseases.",24673126_0,vitamin D insufficiency,21,44,1
43,"A higher proportion of helper T cells (CD4+ T cells) was found in the presence of NSPCs, but analyses of FoxP3 population indicated that T-cell suppression was not secondary to an induction of suppressive regulatory T cells (FoxP3+ CD4+ CD25+).",22888011_3,"regulatory T cells,helper T cells,suppressive","205,23,193","223,37,204","2,2,0"
44,"A highly potent antagonist of C-C chemokine receptor 5 (CCR5), maraviroc (MVC), plays an essential role in treating several infectious diseases but has not yet been evaluated for its potential effects on RA development.",33805933_1,C-C chemokine receptor 5,30,54,0
45,A human Treg phenotype equivalent has not been reported.,21182084_1,Treg,8,12,2
46,A large and diverse group of receptors utilizes the family of cytoplasmic signaling proteins known as tumor necrosis factor receptor (TNFR)-associated factors (TRAFs).,22017431_0,tumor necrosis factor receptor,102,132,0
47,A large number of lymphocytes and mast cells are also stained for neuropeptide Y and substance P. Very close associations (less than 1 µm) were observed between neuropeptide Y immunoreactive nerve fibres and immune cells stained also with neuropeptide Y. Some immune cells were also found to be immunoreactive for tumor necrosis factor-α and NF-κB. Some of the SP IR immunocells were also stained for TNF-α and nuclear factor kappaB. Based on these data it is hypothesized that neuropeptid Y and substance P released from nerve fibres and immune cells play a role in inflammation and elimination of inflammation in hepatitis.,26568102_2,"mast cells,TNF-α,tumor necrosis factor-α,SP,nuclear factor","34,401,314,361,411","44,406,337,363,425","0,0,0,1,0"
48,"A linear association of intratumoral FOXP3 expression with invasion, size and vascularity suggests a utility of FOXP3, an indicator of Treg activity as a marker of tumor progression and metastasis in breast carcinoma.",17653902_8,breast carcinoma,200,216,1
49,A lower gene expression of GATA-3 transcription factor was detected in cells of women with early-onset PE compared with the late-onset PE group.,28502089_3,"transcription factor,GATA-3","34,27","54,33","1,1"
50,A major limitation in exploring how and where nTregs exert their suppression in vivo is the relative paucity of these regulatory cells.,20941602_1,regulatory cells,118,134,2
51,A major signal transduction pathway for IL-6 involves activation of JAK kinases and the transcription factor Stat3.,10993289_2,"Stat3,transcription factor","109,88","114,108","1,1"
52,"A majority of cancers fail to respond to immunotherapy with antibodies targeting immune checkpoints, such as cytotoxic T-lymphocyte antigen-4 (CTLA-4) or programmed death-1 (PD-1)/PD-1 ligand (PD-L1).",29467463_0,ligand,185,191,0
53,A majority of those with autosomal-dominant HIES have heterozygous mutations in signal transducer and activator of transcription (STAT)-3 and impaired T(H)17 differentiation.,19577286_2,"activator,signal transducer","102,80","111,97","1,1"
54,A marked increase in inflammatory Th1 and Th17 cells were detected in IL-10-/-B cell mice compared to WT B cell mice.,22315945_4,Th17 cells,42,52,2
55,A mechanistic analysis revealed the ability of Dex to dampen T3 responses through modulation of Akt phosphorylation and cytoplasmic-nuclear shuttling of nuclear factor-κB (NF-κB).,22056479_7,"NF-κB,T3,nuclear factor-κB,phosphorylation","172,61,153,100","177,63,170,115","1,1,1,1"
56,"A minor fraction of in vitro TCR-stimulated CD8 T cells produce IFN-γ, and it is regulated at the transcriptional level.",32421902_3,"IFN-γ,transcriptional","64,98","69,113","0,1"
57,A model system of phytohaemagglutinin (PHA)-stimulated PBMC was used to assess potential immunomodulatory properties of BPA.,26475400_5,BPA,120,123,1
58,A more complete understanding of cellular heterogeneity and the potential for lineage plasticity in human Treg subsets may identify markers of disease pathogenesis and facilitate the development of optimized cellular therapeutics.,25994968_1,Treg subsets,106,118,2
59,"A naturally occurring subpopulation of anergic polyclonal CD4(+) T cells, enriched for self antigen-specific T cell antigen receptors, was also present in healthy hosts.",26829766_2,subpopulation,22,35,2
60,A novel vaccination strategy induced specific CD8(+) T cell-mediated immunity that eradicated spontaneous and experimental pulmonary cancer metastases in syngeneic mice and was also effective in a therapeutic setting of established breast cancer metastases.,15833877_0,breast cancer,232,245,1
61,A number of recent studies have examined the functions of aryl hydrocarbon receptor (Ahr) in the immune system.,23580432_0,"Ahr,aryl hydrocarbon receptor","85,58","88,83","1,1"
62,"A number of studies have indicated that Th17 cells, a subset of interleukin-17 (IL-17)-producing CD4+ T‑helper cells, serve important roles in the pathogenesis of OBD.",27922688_1,"T‑helper cells,interleukin-17,Th17 cells","102,64,40","116,78,50","2,0,2"
63,A paper in the current issue of the European Journal of Immunology indicates that the ligand-dependent transcription factor aryl hydrocarbon receptor is important for regulating IL-22 production of this new class of human Th cells.,20809491_5,"ligand-dependent transcription factor aryl hydrocarbon receptor,IL-22,Th cells","86,178,222","149,183,230","1,0,2"
64,"A particularly notable example is the in vitro induction of Foxp3 expression and Treg cell activity (iTreg cells) in initially naive CD4+Foxp3- T cells through T cell receptor (TCR) and IL-2R ligation, in the presence of exogenous TGF-β.",29456534_2,"TGF-β,T cells,TCR","231,144,177","236,151,180","0,2,2"
65,"A plethora of work implicates important effects of the vitamin A derivative retinoic acid (RA) in myeloid differentiation, whereas fewer studies explore the role of RA in lymphoid cells.",23338237_0,"lymphoid cells,vitamin A derivative retinoic acid,myeloid differentiation","171,55,98","185,89,121","2,1,0"
66,A population of IL-10 secreting regulatory T cells (PI-Tregs) can be induced in a mouse TCR transgenic model of experimental autoimmune encephalomyelitis (EAE) by intranasal administration of the N-terminal peptide of myelin basic protein.,16708406_0,"IL-10,regulatory T cells,myelin basic protein","16,32,218","21,50,238","0,2,1"
67,A positive correlation between Foxp3 and IL-17 expression (r = 0.273; P = 0.014) was observed.,24292092_4,IL-17,41,46,0
68,A positive correlation was identified between the Th2‑dominated phenotype and the expression levels of ILC2s‑associated cytokines or transcription factors.,28487978_6,transcription factors,133,154,1
69,"A possible strategy to overcome Treg-cell suppression focuses on OX40, a costimulatory molecule expressed constitutively by Treg cells while being induced in activated effector T cells.",22229156_1,"Treg cells,OX40","124,65","134,69","2,0"
70,A potential immuno-modulation by statin treatment is not achieved through a normalization in peripheral CD4 + cell subsets.,26822994_9,cell subsets,110,122,2
71,A potential treatment option for these disorders is to increase the number and activity of Tregs locally.,23500056_1,Tregs,91,96,2
72,"A previously underappreciated transcription factor, Musculin (MSC), has been recently identified to be expressed in not only Th17 cells, but also RORγt+/Id2+ IL-22-producing group 3 ILCs in the gut of naïve mice.",34992594_4,"transcription factor,Th17 cells","30,125","50,135","1,2"
73,"A prominent effect of MDSC is their production of IL-10 which increases upon cross-talk with macrophages, thus polarizing immunity to a pro-tumor type 2 phenotype.",23982485_5,IL-10,50,55,0
74,A recent finding shows that IRF3 is needed for T cell effector functions that are involved in anticancer immunity and also in T cell autoimmune diseases.,33020188_5,"IRF3,T cell","28,126","32,132","1,2"
75,A recent study has reported that interleukin (IL)-33 is a specific ligand of ST2L and induces production of T helper type 2 (Th2) cytokines.,17623648_1,"ligand,interleukin (IL)-33,Th2","67,33,125","73,52,128","0,0,2"
76,A recent surprising discovery was that the signalling pathways and cytokines that regulate lineage determination in T helper cells are also involved in mammary gland development during pregnancy.,21255846_6,"T helper cells,mammary gland","116,152","130,165","2,1"
77,A recombinant eukaryotic vector expressing TCRζ was transfected into T cells by nucleofection.,23057733_2,"recombinant,T cells","2,69","13,76","0,2"
78,A recurring theme in post-thymic CD4 T cell differentiation is the cross-regulation of lineage choice by cytokines and transcription factors that are expressed in alternative lineages.,19046990_1,transcription factors,119,140,1
79,A reduced expression of MHCI/II-like and T-cell costimulation and signaling activation related transcripts was significantly associated with poor clinical outcome.,34189576_5,T-cell,41,47,2
80,A reduced expression of Smad3 mRNA was revealed in CD4+CD25- T cells.,32160611_7,Smad3,24,29,1
81,"A reduced frequency of IL-17(+)RORγt(+) T cells was observed when co-cultured with EPS-Ca-exposed DCs and a tendency towards increased frequency of FoxP3(+)IL-10(+) T cells, resulting in a lower IL-17(+)RORγt(+)/FoxP3(+)IL-10(+) ratio.",25499021_7,T cells,40,47,2
82,A reduced proliferation to T cell mitogens is observed in vitro in murine cells isolated during the acute phase of Toxoplasma gondii infection.,24117537_0,acute phase,100,111,1
83,"A reduction in Id3 expression enhanced binding of the transcription factors E2A and GATA-3 to the Il9 promoter region, which promoted Il9 transcription.",26322481_3,"GATA-3,E2A,transcription factors,Id3","84,76,54,15","90,79,75,18","1,1,1,1"
84,"A reduction in Il2 transcription results in impaired FoxP3(+) CD4(+) Treg-cell recruitment and function, and accounts for the association between murine Il2 and type 1 diabetes (T1D).",23180662_1,"Il2,Il2","15,153","18,156","0,0"
85,A reduction in TGF-β signaling leads to reduced Treg numbers.,27793996_9,TGF-β signaling,15,30,0
86,"A regulatory role for ILT3 expressed on DCs is indicated by the increased interferon-gamma (IFN-gamma) secretion promoted by anti-ILT3 addition to cultures of DCs and T cells, but this effect is blunted in 1,25(OH)(2)D(3)-treated DCs, suggesting ILT3-independent mechanisms able to regulate T-cell activation.",16030186_4,"T cells,interferon-gamma (IFN-gamma) secretion","167,74","174,112","2,0"
87,A remission of histopathology characteristics of lupus flare and nephritis was observed in the MRL/lpr mice upon IL-35 treatment.,25845911_2,IL-35,113,118,0
88,"A role of regulatory T-cells (Treg) in generating an immunosuppressive environment around the metacestode during chronic disease has been reported, but the molecular mechanisms of Treg induction by E. multilocularis, particularly parasite immunoregulatory factors involved, remain elusive so far.",32457746_1,"Treg,regulatory T-cells,Treg","180,10,30","184,28,34","2,2,2"
89,"A second subset of Foxp3(+) regulatory T cells can be induced de novo from conventional CD4(+) Foxp3(-) T cells both in vitro, upon antigenic stimulation in the presence of transforming growth factor beta and interleukin-2, and in vivo.",18763025_3,"transforming growth factor beta,interleukin-2,regulatory T cells","173,209,28","204,222,46","0,0,2"
90,"A shared feature of the examined models is the strongly reduced production of the chemokines and CXCR3 ligands CXCL9, 10 and 11 in BATF3-deficient mice.",31188899_4,"chemokines,CXCL9","82,111","92,116","0,0"
91,A short-term IL-2 treatment regimen induced marked expansion of CD4(+)CD25(+)Foxp3(+) T cells and subsequent suppression of mycobacterium-driven increases in numbers of Vgamma2Vdelta2 T cells.,18981295_2,IL-2,13,17,0
92,A siRNA knockdown of GMEB1 reverses the protective effect of IL-12 on dexamethasone induced T cell apoptosis.,21840619_5,"IL-12,T cell","61,92","66,98","0,2"
93,"A significant correlation was observed between inflammatory cytokines, such as IL-6, IL-12 and TNFα, and the frequency of nTreg cells.",22506043_7,"IL-12,TNFα","85,95","90,99","0,0"
94,A significant decrease in the measured cytokines TNF-α and IL-4 was observed in ConA + RA group in addition to a decrease in MCP-1 level.,31419710_9,"IL-4,TNF-α","59,49","63,54","0,0"
95,"A significant higher frequency of CD4(+)Foxp3(+) Tregs was observed in PBMCs cultured with the supernatant of MGC than GES-1 (10.6% ± 0.6% vs 8.7% ± 0.7%, P < 0.05).",21528082_10,Tregs,49,54,2
96,"A significant proportion of the peripheral iTreg pool exhibits low Bcl-2 expression indicating increased sensitivity to apoptosis, which may be a general characteristic of certain Treg subpopulations.",22318539_6,"Treg subpopulations,Bcl-2","180,67","199,72","2,1"
97,"A significant reduction in AHR, and attenuation of mucus production was observed in IL-25-treated IL-13-/-, IL-4 receptor alpha (IL-4Ralpha-/-)- and signal-transducer-and-activator-of-transcription-factor-6 (STAT6-/-)-deficient mice.",17177681_5,"AHR,IL-4 receptor alpha","27,108","30,127","1,0"
98,A slight insignificant decrease in IL-17 in ALL patients was observed.,32480291_9,IL-17,35,40,0
99,A slight insignificant increase in Treg cells in ALL patients compared to controls was observed.,32480291_6,Treg cells,35,45,2
100,"A somewhat untouched area of research on IRF5 is in T cells, even though Irf5 knockout mice were reported to have skewing of T cell subsets from T helper 1 (Th1) and T helper 17 (Th17) toward T helper 2 (Th2), indicating a potential role for IRF5 in T cell regulation.",32582209_7,"Th2,Th17,Th1,T cell,T cells,T helper 17,IRF5,Irf5,T helper 1 (,IRF5,T helper 2","204,179,157,125,52,166,41,73,145,242,192","207,183,160,131,59,177,45,77,157,246,202","2,2,2,2,2,2,1,1,2,1,2"
101,"A strong T-helper cell type 2 cytokine bias was observed: IFN-gamma and IL-12p70 decreased in the spinal cord of HGF-Tg mice, whereas IL-4 and IL-10 increased.",20332205_5,"IL-12p70,IFN-gamma,IL-10,IL-4","72,58,143,134","80,67,148,138","0,0,0,0"
102,"A strong humoral response to infection requires the collaboration of several hematopoietic cell types that communicate via antigen presentation, surface coreceptors and their ligands, and secreted factors.",23045607_0,hematopoietic cell,77,95,0
103,A strong understanding of the regulatory role(s) of this key transcription factor in T cells is necessary for us to grasp the full picture of the complex pathogenesis of autoimmune diseases like SLE.,32582209_11,"transcription factor,T cells","61,85","81,92","1,2"
104,A study of the blood samples from ADA2-deficient patients showed a dramatic reduction in the number of lymphocyte subsets and an increased concentration of TNF-α in plasma.,27663683_7,"lymphocyte subsets,TNF-α","103,156","121,161","2,0"
105,A subpopulation of regulatory T cells has recently been identified and is characterized by the expression of the chemokine receptor CCR9.,22633147_2,"regulatory T cells,subpopulation","19,2","37,15","2,2"
106,A subset of human follicular helper T cells (TFH) cells expresses CD57 for which no distinct function has been identified.,29476109_0,TFH,45,48,2
107,"A subset of these cells, known as NKT17 cells, however, differentiates in the thymus to preferentially produce IL-17.",23034280_1,"IL-17,NKT17 cells","111,34","116,45","0,2"
108,A substantial fraction of PICA-resistant T cells expressed IL-9 (T(H)9 cells).,22461692_4,IL-9,59,63,0
109,"A synthetic progestin, medroxyprogesterone acetate (MPA), was used in a novel study to determine progestin effects on human purified macrophages and Th1, Th2, Th17, Th22 cells.",31001262_0,"Th22 cells,Th1,Th2,Th17","165,149,154,159","175,152,157,163","2,2,2,2"
110,"A third subset of IL-17-producing effector T helper cells, called Th17 cells, has now been discovered and characterized.",19132915_2,Th17 cells,66,76,2
111,A tight balance between IL-2 and the effector cytokine IL-17A is essential for immune homeostasis.,23019580_1,"IL-2,IL-17A","24,55","28,61","0,0"
112,"A transcription factor, GATA-3, has been implicated in IL-5 gene expression.",15947486_2,"GATA-3,transcription factor","24,2","30,22","1,1"
113,A unique association between IL-23 and T-bet/GATA3 might play a key role in the pathogenesis of UC.,33040251_9,IL-23,29,34,0
114,"A vitamin A metabolite, retinoic acid (RA), was recently identified as a key modulator of TGFbeta-driven- immune deviation capable of suppressing T(H)17 differentiation while promoting Foxp3(+)Treg generation.(6-10).",19262136_1,"vitamin A,metabolite,retinoic acid","2,12,24","11,22,37","1,0,1"
115,"A20-deleted CD8 T cells had increased sensitivity to antigen stimulation with production of large amounts of IL-2 and IFNγ, correlated with sustained nuclear expression of NF-κB components reticuloendotheliosis oncogene c-Rel and p65.",25024217_5,"IL-2,p65,NF-κB,oncogene c-Rel,IFNγ","109,230,172,211,118","113,233,177,225,122","0,1,1,1,0"
116,"A3G was up-regulated by IFN-alpha in liver cells and macrophages, but not in T lymphoid cells or epithelial 293T cells.",16982890_3,"IFN-alpha,T lymphoid cells","24,77","33,93","0,2"
117,AD models have demonstrated that TGF-β signaling is compromised in regulatory T cells (Tregs).OBJECTIVES: This study aimed to investigate the TGF-β-dependent in vitro conversion of CD4+CD25- T cells derived from AD-patients into CD4+CD25+Foxp3+ induced Tregs (iTregs) in comparison to healthy controls.,32160611_1,"regulatory T cells,TGF-β signaling","67,33","85,48","2,0"
118,AF and a high-molecular-weight fraction of AF extract (HMW-AF; > 50 kD) profoundly suppressed poly I:C- and HRV16-induced expression of both CXCL10 mRNA and protein from NHBE cells via a mechanism that relied upon PAR-2 activation.,26072921_8,"protein,CXCL10","157,141","164,147","1,0"
119,"AHR agonists reduced the expression of the Th17 master transcription factor retinoic acid-related orphan receptor C (RORC), without affecting T-bet, GATA-3 and Foxp3.",20706985_5,"GATA-3,Th17,AHR","149,43,0","155,47,3","1,2,1"
120,"AHR was also inhibited in IL-4(-/-)- and IL-5/eotaxin(1)(-/-)- deficient mice treated with IL-25, however, mucus hypersecretion was not completely ablated.",17177681_6,"AHR,IL-25","0,91","3,96","1,0"
121,"AIM OF THE STUDY: To determine and compare the anti-inflammatory effects of PPD extracts (PPDE) and PDM extracts (PDME) on allergic lung inflammation, using in vivo OVA-induced airway inflammation in mice and in vitro primary cell culture systems.",27965051_2,PDM,100,103,1
122,"AIM: T regulatory (Treg) cells have been detected in periodontitis lesions, and forkhead box P3 (Foxp3) expression has been negatively correlated to receptor activator of nuclear factor-kappa B ligand (RANKL).",19419438_0,"forkhead box P3,T regulatory,nuclear factor-kappa B ligand,RANKL,receptor activator","80,5,171,202,149","95,17,200,207,167","1,2,0,0,1"
123,AIM: The RelB gene plays an important role in guiding the progression of arthritis.,30949517_0,RelB gene,9,18,1
124,"AIM: The aim of our study was to investigate the effect of lentinan on regulatory T cells (Tregs) in sepsis, especially on the generation of interleukin (IL)-10 via regulation of Erk-FoxO1 signaling.",27156806_0,"regulatory T cells,interleukin (IL)-10","71,141","89,160","2,0"
125,AIM: The objective of the study was to explore the use of recombinant Mycobacterium smegmatis as a live vector for oral delivery of antigens to induce immune tolerance.,27241889_2,recombinant,58,69,0
126,AIM: To construct a novel Ag85B DNA vaccine based on the genetic adjuvant of T-bet known as Th1 transcription factor and to research the immunoregulation function of the DNA complex vaccine.,22768853_0,"transcription factor,Th1,DNA complex","96,92,170","116,95,181","1,2,1"
127,AIM: To elucidate the immunomodulatory functions of colonic mesenchymal stem cells (MSCs) in the colonic mucosal immune system.,24060593_0,colonic mucosal,97,112,2
128,AIM: To elucidate the molecular and cellular features responsible for the increase of regulatory T cells (Tregs) in gastric cancer.,21528082_0,"gastric cancer,regulatory T cells","116,86","130,104","1,2"
129,AIM: To investigate the levels and functions of Th17 cells and CD4(+); CD25(+); Foxp3(+); regulate cells(Treg) and explore their role in pathogenesis of primary nephrotic syndrome (PNS) in children.,20619107_0,Th17 cells,48,58,2
130,AIM: To investigate the role of regulatory T cell (Treg) subsets in the balance between Treg and T helper 17 (Th17) cells in various tissues from mice with dextran sulfate sodium-induced colitis.,27895423_0,"T helper 17,Treg,regulatory T cell,Treg","97,51,32,88","108,55,49,92","2,2,2,2"
131,AIM: We aimed to explore the effect of T2 on the in situ levels of inflammatory cytokines and the number of Foxp3(+) Tregs in inflamed mucosa of CD.METHODS: Mucosal biopsies from 20 patients treated with T2 were taken by colonoscopy.,24369313_4,"T2,T2","39,204","41,206","1,1"
132,AIM: γδ T cells exhibit important functions in the pathogenesis of rheumatoid arthritis (RA).,24467668_0,T cells,8,15,2
133,"AIMS: To investigate whether supplementation of natural CD4+CD25+ regulatory T cells ameliorates mouse experimental autoimmune uveoretinitis (EAU) induced by CD4+ T cell-dependent interphotoreceptor retinoid-binding protein (IRBP).METHODS: C57BL/6 mice were immunised with human interphotoreceptor retinoid-binding protein peptide 1-20 (IRBP(1-20)), and IRBP(1-20)-sensitised T cells were obtained.",16943228_0,"cell-dependent interphotoreceptor retinoid-binding protein,T cells,human interphotoreceptor retinoid-binding protein peptide","165,376,273","223,383,330","1,2,1"
